Q257,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: Like a mad man, I decided to follow him\nAssumptions:\nI. I am not a mad man.\nII. I am a mad man.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,C,Easy
Q258,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: The government has decided to pay compensation to the tune of Rs.1 lakh to the family members of those who are killed in railway accidents.\nAssumptions:\nI. The government has enough funds to meet the expenses due to compensation.\nII. There may be reduction in incidents of railway accidents near future.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,A,Easy
Q259,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: Never before such a lucid book was available on the topic.\nAssumptions:\nI. Some other books were available on this topic.\nII. You can write lucid books on very few topics.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,A,Easy
Q260,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: ""I have not received telephone bills for nine months in spite of several complaints:”- A telephone customer's letter to the editor of a daily.\nAssumptions:\nI. Every customer has a right to get bills regularly from the telephone company.\nII. The customer's complaints point to defect in the services which is expected to be corrected.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,E,Easy
Q261,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: The management of XYZ Pvt. Ltd. asked the workers' union to call off strike immediately otherwise the management would be forced to close down the factory.\nAssumptions:\nI. No alternative other than closing down the factory is left for the management of XYZ Pvt. Ltd.\nII. Such threat may have some effect on the workers' union.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,B,Easy
Q262,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: Most people who stops smoking gain weight.\nAssumptions:\nI. If one stops smoking, one will gain weight.\nII. If one does not stop smoking, one will not gain weight.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,D,Easy
Q263,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: Vitamin E tablets improve circulation, keep your complexion in a glowing condition.\nAssumptions:\nI. People like a glowing complexion.\nII. Complexion becomes dull in the absence of circulation.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,E,Easy
Q264,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: ""Computer education should start at schools itself."".\nAssumptions:\nI. Learning computers is easy.\nII. Computer education fetches jobs easily.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,A,Easy
Q265,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: It is desirable to put the child in school at the age of 5 or so.\nAssumptions:\nI. At that age the child reaches appropriate level of development and is ready to learn.\nII. The schools do not admit children after six years of age.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,A,Easy
Q266,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: Why don't you go to the court if the employer does not pay you the Provident Fund contribution?\nAssumptions:\nI. Courts can intervene in matters of dispute between employer and employees.\nII. It is obligatory for the employer to pay the Provident Fund contribution to the employees.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,E,Easy
Q267,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: Nobody can predict as to how long our country would take to contain the unfortunate and disastrous terrorist activities.\nAssumptions:\nI. it is impossible to put on end to terrorist activities.\nII. Efforts to control the terrorist activities are on.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,B,Easy
Q268,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: His recent investment in the shares of Company A is only a gamble.\nAssumptions:\nI. He may incur loss on his investment.\nII. He may gain from his investment.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,C,Easy
Q269,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: ""If you want to give any advertisement, give it in the newspaper X.""— A tells B.\nAssumptions:\nI. B wants to publicise his products.\nII. Newspaper X has a wide circulation.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,B,Easy
Q270,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should agriculture in rural India be mechanized?\nArguments:\nI. Yes. It would lead to higher production.\nII. No. Many villagers would be left unemployed.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q271,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should girls learn arts like judo and karate?\nArguments:\nI. Yes. It will enable them to defend themselves from rogues and ruffians.\nII. No. They will lose their feminine grace.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q272,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should the political parties be banned?\nArguments:\nI. Yes. It is necessary to teach a lesson to the politicians.\nII. No. It will lead to an end of democracy.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,D,Moderate
Q273,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,"Statement: Should the educated unemployed youth be paid ""unemployment allowance ""by the Government?\nArguments:\nI. Yes. It will provide them some monetary help to either seek employment or to kickstart some 'self-employment' venture.\nII. No. It will dampen their urge to do something to earn their livelihood and thus promote idleness among the unemployed youth.",Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,E,Moderate
Q274,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should foreign films be banned in India?\nArguments:\nI. Yes. They depict an alien culture which adversely affects our values.\nII. No. Foreign films are of a high artistic standard.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,D,Moderate
Q275,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,"Statement: Should all the practicing doctors be brought under Government control so that they get salary from the Government and treat patients free of cost?\nArguments:\nI. No. How can any country do such an undemocratic thing?\nII. Yes. Despite many problems, it will certainly help minimize, if not eradicate, unethical medical practices.",Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,B,Moderate
Q276,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should higher education be completely stopped for some time?\nArguments:\nI. No. It will hamper the country's future progress.\nII. Yes. It will reduce the educated unemployment.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q277,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should there be more than one High Courts in each state in India?\nArguments:\nI. No. This will be a sheer wastage of taxpayers' money.\nII. Yes. This will help reduce the backlog of cases pending for a very long time.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,B,Moderate
Q278,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Are nuclear families better than joint families?\nArguments:\nI. No. Joint families ensure security and also reduce the burden of work.\nII. Yes. Nuclear families ensure greater freedom.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,E,Moderate
Q279,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should India give away Kashmir to Pakistan\nArguments:\nI. No. Kashmir is a beautiful state. It earns a lot of foreign exchange for India.\nII. Yes. This would help settle conflicts.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q280,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should students take part in politics?\nArguments:\nI. Yes. It inculcates in them qualities of leadership.\nII. No. They should study and build up their career.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,C,Moderate
Q281,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should there be concentration of foreign investment in only few states?\nArguments:\nI. No. It is against the policy of overall development of the country.\nII. Yes. A large number of states lack infrastructure to attract foreign investment.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q282,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should luxury hotels be banned in India?\nArguments:\nI. Yes. They are places from where international criminals operate.\nII. No. Affluent foreign tourists will have no place to stay.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,B,Moderate
Q283,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,"Statement: Should India engage into a dialogue with neighboring countries to stop cross border tension?\nArguments:\nI. Yes. This is the only way to re-duce the cross-border terrorism and stop loss of innocent lives.\nII. No. Neighboring countries cannot be relied upon in such matters, they may still engage in subversive activities.",Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q284,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should a total ban be put on trapping wild animals?\nArguments:\nI. Yes. Trappers are making a lot of money.\nII. No. Bans on hunting and trap-ping are not effective.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,D,Moderate
Q285,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should system of offering jobs only to the wards of government employees be introduced in all government offices in India?\nArguments:\nI. No. It denies opportunity to many deserving individuals and government may stand to lose in the long run.\nII. No. It is against the principle of equality. Does not government owe its responsibility to all its citizens?,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,E,Moderate
Q286,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should young entrepreneurs be encouraged?\nArguments:\nI. Yes. They will help in industrial development of the country.\nII. Yes. They will reduce the burden on employment market.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,E,Moderate
Q287,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should the sex determination test during pregnancy be completely banned?\nArguments:\nI. Yes. This leads to indiscriminate female feticide and eventually will lead to social imbalance.\nII. No. People have a right to know about their unborn child.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q288,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,"Statement: Should government jobs in rural areas have more incentives?\nArguments:\nI. Yes. Incentives are essential for attracting government servants there.\nII. No. Rural areas are already cheaper, healthier and less complex than big cities. So, why offer extra incentives!",Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q289,VARC,CRITICAL REASONING,Statements & Arguments,Decide which of the arguments is strong.,Statement: Should there be only one rate of interest for term deposits of varying durations in banks\nArguments:\nI. No. People will refrain from keeping money for longer duration resulting into reduction of liquidity level of banks.\nII. Yes. This will be much simple for the common people and they may be encouraged to keep more money in banks.,Only argument I is strong,Only argument II is strong,Either I or II is strong,Neither I nor II is strong,Both I and II are strong,A,Moderate
Q290,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Anil Rath eligible?","A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Anil Rath has a doctorate in Library Science from Karnataka University in 2003. Born on July 21, 1979, he graduated in Library and Information Science from Karnataka University where he was Assistant Librarian for four years since 2005.",Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,E,Difficult
Q291,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Dr. Samir Bali eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Dr. Samir Bali has a Ph.D. in Library Science and has been with the Institute of Fundamental Research as Assistant Librarian since October 2008. He graduated with a degree in Library and Information Science in 1994 at the age of 22. He obtained 70 percent in his graduation.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,D,Difficult
Q292,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Vaishali Shetty eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Vaishali Shetty has been a librarian at STS University since 2007 when she qualified in the UGC NET examination. She has a degree in Library and Information Science with 60 percent. Her first job was as junior librarian at TRP Institute of Development Research from October 2000 to December 2001.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,E,Difficult
Q293,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Vivek Jha eligible?","A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Vivek Jha has a Ph.D. in Library and Information Science. He graduated in Library and Information Science in 1992 with 65 percent. He was born on 1.10.1974. Since July 2005, he has been working as Deputy Librarian at a deemed University.",Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,A,Difficult
Q294,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Dr. M. Puri eligible?","A Research Institute is recruiting a librarian... (and other rules).\nCandidate: A graduate in Library Science with 69 percent, Dr. M. Puri has been working at Ranchi University for 4 years as Deputy Librarian. She earned her doctorate while working for the Labour Research Institute for 5 years as Assistant Librarian. She is 38 years old as on the required date.",Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,A,Difficult
Q295,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Megha Vaidya eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Megha Vaidya has a graduate degree in Library Science from Punjab University where she has been a librarian for the past 5 years. In 2002 she obtained her UGC NET qualification at the age of 29. She obtained 72 percent in graduation.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,E,Difficult
Q296,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Anup Gupta eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Anup Gupta is obtaining his Ph.D. from YCM University where he has been Junior Librarian since 2004. He qualified in the UGC NET exam in June 2000. He has a degree in Library and Information Science with 62 percent. His date of birth is 17.10.1973.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,C,Difficult
Q297,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Kirti Shukia eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Kirti Shukia obtained her doctorate and Bachelor's degree from Patna University. She obtained 63 percent in graduation. She obtained her UGC NET qualification in 1998 when she was 26.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,E,Difficult
Q298,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Prakash Sinha eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Prakash Sinha has been a librarian for a government institution for three years. Prior to this he was a University Librarian for 7 years after completing his Ph.D. in Library Science. He graduated in 1991 with 68 percent in Library Science. He is exactly 40 years of age on the specified date.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,A,Difficult
Q299,VARC,CRITICAL REASONING,Eligibility Criteria,"Based on the criteria, is Rohan Sachdev eligible?",A Research Institute is recruiting a librarian... (and other rules).\nCandidate: Rohan Sachdev obtained his UGC NET qualification after his graduation in 1998 when began working. He has been Assistant Librarian for the past two years with a research institute. He obtained 65 percent in his graduation in Library Science. He earned his Ph.D. in Library Science in 2007. His date of birth is 22.10.1974.,Shortlisted,Not shortlisted,Referred to the Dean,Offered contractual appointment,Data inadequate,D,Difficult
Q300,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following conclusion can be most accurately drawn from the passage?,Recent studies indicate that the implementation of remote work policies has led to an increase in employee productivity in many companies...,Remote work policies are universally beneficial for all companies and employees.,The increase in productivity from remote work is solely due to employees' ability to create personalised work environments.,Companies that implement remote work policies may need to address potential feelings of isolation among employees to maintain team cohesion.,Traditional in-office work arrangements are more effective in promoting team communication and collaboration than remote work.,,C,Very Easy
Q301,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",Urban gardening has gained traction in recent years... critics argue that urban gardening often does not address the systemic issues...,Only I follows,Only II follows,Only III follows,Both II and III follow,,D,Very Easy
Q302,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",A fundamental principle of artificial intelligence (AI) development is to ensure that Al systems are designed with fairness and inclusivity in mind...,Only I follows,Only II follows,Both I and II follow,Neither I nor II follows,,B,Very Easy
Q303,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",The discovery of electricity centuries ago led to profound changes... Some modern political movements propagate a narrative that portrays technological progress as inherently beneficial...,Only I follows,Only II follows,Only III follows,Both I and III follow,,D,Very Easy
Q304,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",The invention of antibiotics in the early 20th century revolutionised healthcare... Some modern pharmaceutical practices focus primarily on maximising profits...,Only I follows,Only II follows,Both I and II follow,Both II and III follow,,D,Very Easy
Q305,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",The widespread adoption of social media services in the 21st century has transformed how people communicate... Some activists argue that controlling misinformation through regulation is necessary...,Only I follows,Only III follows,Both I and III follow,Both II and III follow,,C,Very Easy
Q306,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",Sports competitions foster teamwork and discipline... Striking the right balance between commercial interests and ethical standards remains a challenge.,Only I follows,Both I and III follow,Only III follows,Both II and III follow,,B,Very Easy
Q307,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",Culinary arts have evolved significantly over the years... The debate about preserving culinary heritage versus embracing new practices continues among food enthusiasts.,Only I follows,Only III follows,Both II and III follow,Both I and III follow,,D,Very Easy
Q308,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",The rise of independent bookstores in recent years has sparked a renewed interest in reading and community engagement...,Only I follows,Only III follows,Both I and II follow,Both II and III follow,,C,Easy
Q309,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the statement, which conclusion necessarily follows?",The rise of global tourism has significantly impacted local economies... many experts advocate for sustainable tourism practices...,Only I follows,Only II follows,Only III follows,Both I and II follow,,B,Easy
Q310,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"If the paragraph is true, which of the following statements is most contradicted by the paragraph?","In recent years, research in nutrition and health has highlighted the importance of dietary habits... food choices are often shaped by factors such as socioeconomic status...",Cultural influences can significantly impact the types of foods that people choose to eat.,Genetic predispositions play a significant role in determining an individual's dietary preferences.,Individuals from lower socioeconomic backgrounds may have limited access to healthy food options.,Regular consumption of processed foods can lead to negative health outcomes.,,B,Easy
Q311,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the paragraph, which statement would most reasonably complete the sentence: 'The variation in student performance suggests that'",Many students find that their study habits significantly impact their academic performance... some students struggle to find the right balance between studying and leisure activities...,"some students prioritise leisure over studying, which negatively affects their grades.",consistent study routines are not always sufficient to guarantee academic success.,active learning techniques are universally effective for all students.,a lack of balance between studying and leisure can create unnecessary stress for students.,,D,Easy
Q312,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be inferred from the passage?,Effective teamwork is crucial for project success... it is essential to implement training programs that teach conflict resolution techniques to enhance team performance.,Organisations should avoid forming diverse teams to reduce conflict.,Homogeneous teams are always more effective than diverse teams.,Conflict within teams is always detrimental to project outcomes.,Training programmes on conflict resolution can improve team dynamics.,,D,Easy
Q313,VARC,FACT INFERENCE JUDGEMENT,Logical Deduction,Which of the following necessarily follows if the above is true?,All mobile phones with advanced camera features are popular among social media influencers.\nMobile phones that are popular among social media influencers often have high storage capacity.\nNone of the mobile phones manufactured by Brand B have advanced camera features.,All mobile phones that are popular among social media influencers have high storage capacity.,Mobile phones manufactured by Brand B are popular among social media influencers.,None of the mobile phones manufactured by Brand B are popular among social media influencers.,All mobile phones with high storage capacity also have advanced camera features.,,C,Easy
Q314,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be inferred from the passage?,The study of ancient civilisations reveals much about human history... some civilisations that isolated themselves from others faced stagnation...,Isolation leads to greater cultural advancements than interaction with others.,All ancient civilisations experienced the same level of development regardless of their interactions.,Trade and cultural exchange can be key drivers of societal progress.,Art and architecture have no relationship to the progress of technology in ancient societies.,,C,Easy
Q315,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be inferred from the passage?,"The exploration of space has captivated humanity for decades... the potential benefits, including inspiring future generations and fostering international collaboration, are profound.",The financial costs of space exploration can sometimes outweigh its benefits.,Space exploration primarily serves scientific communities more than the society in general.,Technological advancements resulting from space missions are limited to astronomy.,The potential benefits of space exploration include inspiring future generations and promoting global cooperation.,,D,Easy
Q316,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be inferred from the passage?,Art has long served as a powerful means of expression... exposure to diverse forms of art can enhance creativity and foster empathy among individuals...,Art only serves to reflect societal norms and values.,Exposure to diverse art forms can enhance creativity and promote empathy.,Engaging with different art forms has limited impact on individual creativity.,The relationship between art and societal changes is static and unchanging.,,B,Easy
Q317,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the statements below is most consistent with the paragraph?,An enterprise has the responsibility to ensure the safety of its products... some enterprises prioritise profits over safety...,Consumers are solely responsible for assessing the risks of the products they buy.,It is acceptable for enterprises to release potentially harmful products if the risk of harm is low.,"Enterprises should always prioritise consumer safety over profit, even if it affects their financial performance.","Enterprises have no obligation to warn consumers about every possible risk, only significant defects.",,C,Moderate
Q318,VARC,FACT INFERENCE JUDGEMENT,Principle Application,"Based on the principle, which of the following actions would be justified?","Where public safety or the protection of human life is at stake, it is justified to limit personal freedoms and privacy...","Pinto, a public health official, enforced temporary closure of all schools during a severe flu outbreak...","Laila, a private company CEO, ordered the installation of surveillance cameras inside employee restrooms to prevent theft...","Sanju, a police officer, initiated random searches of people's homes without a warrant...","Sarita, a local politician, proposed limiting internet access in her town...",,A,Moderate
Q319,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,"Based on the passage, which conclusion necessarily follows?",The rapid advancement of technology has significantly changed the way people interact... it can also lead to feelings of isolation and disconnection...,Technology has completely replaced the need for in-person communication.,People prefer online interactions over face-to-face conversations.,"While technology can enhance connections, it may also hinder personal relationships.",All of the above,,C,Moderate
Q320,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be properly inferred from the passage?,Caroline Hoxby has produced a large body of research looking at college applications by low-income students... this is either a consequence of them being under informed about their options ... or believing that the culture and atmosphere of prestigious colleges wouldn't be very inviting...,"Low Income Students refrain from applying to prestigious schools, because they are under informed or they are intimidated by the culture of prestigious colleges.","Low Income Students refrain from applying to prestigious schools, because they are more influenced by peer pressure to conform to certain choices.","Low Income Students refrain from applying to prestigious schools, because they are influenced by the public relations.","Low Income Students refrain from applying to prestigious schools, because they are repelled by the culture of prestigious colleges.",,A,Moderate
Q321,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following assumption is made in the passage?,"""The art of war is of vital importance to the State. It is a matter of life and death, a road either to safety or to ruin. Hence it is a subject of enquiry on which no account can be neglected.""",Matters of life and death should not be neglected.,Matters of life and death are of vital importance to the State.,Both (A) and (B),Neither (A) nor (B),,C,Moderate
Q322,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which of the following can be inferred?,"In a survey of IT professionals in Bangalore, those who regularly practiced yoga reported fewer instances of work-related stress than those who did not. Priyanka, an IT professional from Bangalore, rarely feels work-related stress.",Priyanka practices yoga daily.,Priyanka never practices yoga.,Priyanka might be practising yoga.,None of the above.,,C,Moderate
Q323,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which one of the following statements can be properly inferred from the passage?,The quickest way to decarbonise in the near term is scaling up renewable energies to replace coal and gas... for some sectors this will not be enough.,Transport and home heating cannot be powered using coal and gas.,Air travel and shipping can be decarbonised over the long-term using current renewable energy technologies.,Existing modes of generating renewable energy are insufficient for decarbonising cement manufacturing.,Long-haul trucking can only be powered using coal and gas.,,C,Difficult
Q324,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which one of the following statements can be inferred from the passage?,"The April 1986 disaster at the Chernobyl nuclear power plant... was a direct consequence of Cold War isolation and the resulting lack of any safety culture... Since then, the safety of all Soviet-designed reactors has improved vastly.",Financial investment in nuclear reactor safety was not a priority for governments prior to the Chernobyl disaster.,"In the period preceding the Chernobyl disaster, Western nuclear scientists believed their nuclear reactors are superior than Soviet reactor designs.","The level of collaboration between Western and Eastern nations in the pre-Chernobyl era/before 1986, in relation to safe nuclear reactor designs, was lower compared to the post-Chernobyl era.",Both (B) and (C),,C,Difficult
Q325,VARC,FACT INFERENCE JUDGEMENT,Passage-Based MCQ,Which one of the following statements can be inferred from the passage?,"Black people are about twice as likely to develop Alzheimer's disease as White people, but for years the pharmaceutical industry has mostly left them out of trials...",Drug companies find it economical to enroll non-black participants in clinical trials.,Black people are reluctant to enroll in clinical trials.,The approval of Drug X will enable pharmaceutical companies to better understand Alzheimer's disease.,The approved Drug 'X' may not be as safe and efficacious among Black patients as it would be among White patients.,,D,Difficult
Q326,VARC,FACT INFERENCE JUDGEMENT,Logical Deduction,Which one of the following inferences can be drawn from the statements?\nI. All machines consume energy.\nII. Electricity provides energy.\nIII. Electric machines are cheap to maintain.\nIV. Electric machines do not cause pollution.,,All machines are run by electric energy.,There is no form of energy other than electricity.,Most machines are operated on electric energy.,Electrically operated machines are preferable to use.,,D,Difficult
Q327,VARC,FACT INFERENCE JUDGEMENT,Logical Deduction,Which of the following statements can be inferred from the statement?,"A new apparel store has been opened by a telecom company XYZ, from which customers have very high expectations.",Apparel stores were previously operated in the telecom industry only.,Expansion is the best strategy to have competitive edge in the market.,"To be successful in an expansion, one needs to be a leader in the telecom industry.",XYZ has already established a brand name in the market through its telecom business.,,D,Difficult
Q246_R,VARC,FACT INFERENCE JUDGEMENT,Logical Deduction,What can be concluded from the statement?,"(Repeat of Q246) Prime age school-going children in urban India have now become avid as well as more regular viewers of television... As a result, there has been an alarming decline in the extent of readership of newspapers.",Method of increasing the readership of newspapers should be devised.,A team of experts should be sent to other countries to study the impact of TV on the readership of newspapers.,Either I or II follows.,Neither I nor II follows.,,D,Difficult
Q328,VARC,FACT INFERENCE JUDGEMENT,Logical Deduction,Which of the following can be inferred?,The recent surge in demand for electric vehicles has led to increased lithium-ion battery production.,The increase in lithium-ion battery production is solely driven by the demand for electric vehicles.,Lithium-ion batteries are the only type of batteries used in electric vehicles.,Increased production of lithium-ion batteries will lead to a decrease in their cost.,None of the above.,,A,Difficult
,,,,,,,,,,,,
